"Palmeiras,,,,,Palmeiras,,,,,Palmeiras,,,,,Palmeiras,,,,,Palmeiras,,,,,Palmeiras,,,,,Palmeiras,,,,,Palmeiras,,,,,"
"Pereira Weverton,G,34,82,,Pereira Weverton,G,34,82,,Pereira Weverton,G,34,82,,Pereira Weverton,G,34,82,,Pereira Weverton,G,34,82,,Pereira Weverton,G,34,82,,Pereira Weverton,G,34,82,,Pereira Weverton,G,34,82,,"
"Marcelo Lomba,G,35,76,,Marcelo Lomba,G,35,76,,Marcelo Lomba,G,35,76,,Marcelo Lomba,G,35,76,,Marcelo Lomba,G,35,76,,Marcelo Lomba,G,35,76,,Marcelo Lomba,G,35,76,,Marcelo Lomba,G,35,76,,"
"Vinicius Silvestre,G,28,66,,Vinicius Silvestre,G,28,66,,Vinicius Silvestre,G,28,66,,Vinicius Silvestre,G,28,66,,Vinicius Silvestre,G,28,66,,Vinicius Silvestre,G,28,66,,Vinicius Silvestre,G,28,66,,Vinicius Silvestre,G,28,66,,"
"Gustavo Gomez,D(C),28,81,,Gustavo Gomez,D(C),28,81,,Gustavo Gomez,D(C),28,81,,Gustavo Gomez,D(C),28,81,,Gustavo Gomez,D(C),28,81,,Gustavo Gomez,D(C),28,81,,Gustavo Gomez,D(C),28,81,,Gustavo Gomez,D(C),28,81,,"
"Garcia Luan,D(C),28,78,,Garcia Luan,D(C),28,78,,Garcia Luan,D(C),28,78,,Garcia Luan,D(C),28,78,,Garcia Luan,D(C),28,78,,Garcia Luan,D(C),28,78,,Garcia Luan,D(C),28,78,,Garcia Luan,D(C),28,78,,"
"Benjamín Kuscevic,D(C),25,75,,Benjamín Kuscevic,D(C),25,75,,Benjamín Kuscevic,D(C),25,75,,Benjamín Kuscevic,D(C),25,75,,Benjamín Kuscevic,D(C),25,75,,Benjamín Kuscevic,D(C),25,75,,Benjamín Kuscevic,D(C),25,75,,Benjamín Kuscevic,D(C),25,75,,"
"Lucas Freitas,D(C),21,66,,Lucas Freitas,D(C),21,66,,Lucas Freitas,D(C),21,66,,Lucas Freitas,D(C),21,66,,Lucas Freitas,D(C),21,66,,Lucas Freitas,D(C),21,66,,Lucas Freitas,D(C),21,66,,Lucas Freitas,D(C),21,66,,"
"Michel Augusto,D(C),18,63,,Michel Augusto,D(C),18,63,,Michel Augusto,D(C),18,63,,Michel Augusto,D(C),18,63,,Michel Augusto,D(C),18,63,,Michel Augusto,D(C),18,63,,Michel Augusto,D(C),18,63,,Michel Augusto,D(C),18,63,,"
"Marinho Henri,D(C),20,63,,Marinho Henri,D(C),20,63,,Marinho Henri,D(C),20,63,,Marinho Henri,D(C),20,63,,Marinho Henri,D(C),20,63,,Marinho Henri,D(C),20,63,,Marinho Henri,D(C),20,63,,Marinho Henri,D(C),20,63,,"
"Victor Renan,MD(E) D(EC),19,75,,Victor Renan,MD(E) D(EC),19,75,,Victor Renan,MD(E) D(EC),19,75,,Victor Renan,MD(E) D(EC),19,75,,Victor Renan,MD(E) D(EC),19,75,,Victor Renan,MD(E) D(EC),19,75,,Victor Renan,MD(E) D(EC),19,75,,Victor Renan,MD(E) D(EC),19,75,,"
"Murilo Cerqueira,MD(C) D,25,78,,Murilo Cerqueira,MD(C) D,25,78,,Murilo Cerqueira,MD(C) D,25,78,,Murilo Cerqueira,MD(C) D,25,78,,Murilo Cerqueira,MD(C) D,25,78,,Murilo Cerqueira,MD(C) D,25,78,,Murilo Cerqueira,MD(C) D,25,78,,Murilo Cerqueira,MD(C) D,25,78,,"
"Moraes Jorge,MD M(E) D,26,78,,Moraes Jorge,MD M(E) D,26,78,,Moraes Jorge,MD M(E) D,26,78,,Moraes Jorge,MD M(E) D,26,78,,Moraes Jorge,MD M(E) D,26,78,,Moraes Jorge,MD M(E) D,26,78,,Moraes Jorge,MD M(E) D,26,78,,Moraes Jorge,MD M(E) D,26,78,,"
"Barbosa Vanderlan,MD M(E) D(EC),19,63,,Barbosa Vanderlan,MD M(E) D(EC),19,63,,Barbosa Vanderlan,MD M(E) D(EC),19,63,,Barbosa Vanderlan,MD M(E) D(EC),19,63,,Barbosa Vanderlan,MD M(E) D(EC),19,63,,Barbosa Vanderlan,MD M(E) D(EC),19,63,,Barbosa Vanderlan,MD M(E) D(EC),19,63,,Barbosa Vanderlan,MD M(E) D(EC),19,63,,"
"Eduard Atuesta,M(C) MD,24,76,,Eduard Atuesta,M(C) MD,24,76,,Eduard Atuesta,M(C) MD,24,76,,Eduard Atuesta,M(C) MD,24,76,,Eduard Atuesta,M(C) MD,24,76,,Eduard Atuesta,M(C) MD,24,76,,Eduard Atuesta,M(C) MD,24,76,,Eduard Atuesta,M(C) MD,24,76,,"
"Fabinho Silva,M(C) MD,19,66,,Fabinho Silva,M(C) MD,19,66,,Fabinho Silva,M(C) MD,19,66,,Fabinho Silva,M(C) MD,19,66,,Fabinho Silva,M(C) MD,19,66,,Fabinho Silva,M(C) MD,19,66,,Fabinho Silva,M(C) MD,19,66,,Fabinho Silva,M(C) MD,19,66,,"
"Jailson Siqueira,MD M(C) D,26,76,,Jailson Siqueira,MD M(C) D,26,76,,Jailson Siqueira,MD M(C) D,26,76,,Jailson Siqueira,MD M(C) D,26,76,,Jailson Siqueira,MD M(C) D,26,76,,Jailson Siqueira,MD M(C) D,26,76,,Jailson Siqueira,MD M(C) D,26,76,,Jailson Siqueira,MD M(C) D,26,76,,"
"Marcos Rocha,MD M(D) D,33,80,,Marcos Rocha,MD M(D) D,33,80,,Marcos Rocha,MD M(D) D,33,80,,Marcos Rocha,MD M(D) D,33,80,,Marcos Rocha,MD M(D) D,33,80,,Marcos Rocha,MD M(D) D,33,80,,Marcos Rocha,MD M(D) D,33,80,,Marcos Rocha,MD M(D) D,33,80,,"
"Gustavo Garcia,MD M(D) D,20,63,,Gustavo Garcia,MD M(D) D,20,63,,Gustavo Garcia,MD M(D) D,20,63,,Gustavo Garcia,MD M(D) D,20,63,,Gustavo Garcia,MD M(D) D,20,63,,Gustavo Garcia,MD M(D) D,20,63,,Gustavo Garcia,MD M(D) D,20,63,,Gustavo Garcia,MD M(D) D,20,63,,"
"Gabriel Menino,MD M(DC) D(D),21,78,,Gabriel Menino,MD M(DC) D(D),21,78,,Gabriel Menino,MD M(DC) D(D),21,78,,Gabriel Menino,MD M(DC) D(D),21,78,,Gabriel Menino,MD M(DC) D(D),21,78,,Gabriel Menino,MD M(DC) D(D),21,78,,Gabriel Menino,MD M(DC) D(D),21,78,,Gabriel Menino,MD M(DC) D(D),21,78,,"
"Joaquín Piquerez,MD M MA(E) D,23,75,,Joaquín Piquerez,MD M MA(E) D,23,75,,Joaquín Piquerez,MD M MA(E) D,23,75,,Joaquín Piquerez,MD M MA(E) D,23,75,,Joaquín Piquerez,MD M MA(E) D,23,75,,Joaquín Piquerez,MD M MA(E) D,23,75,,Joaquín Piquerez,MD M MA(E) D,23,75,,Joaquín Piquerez,MD M MA(E) D,23,75,,"
"Oliveira Danilo,M MA(C) MD,20,76,,Oliveira Danilo,M MA(C) MD,20,76,,Oliveira Danilo,M MA(C) MD,20,76,,Oliveira Danilo,M MA(C) MD,20,76,,Oliveira Danilo,M MA(C) MD,20,76,,Oliveira Danilo,M MA(C) MD,20,76,,Oliveira Danilo,M MA(C) MD,20,76,,Oliveira Danilo,M MA(C) MD,20,76,,"
"Pedro Bicalho,M MA(C) MD,20,63,,Pedro Bicalho,M MA(C) MD,20,63,,Pedro Bicalho,M MA(C) MD,20,63,,Pedro Bicalho,M MA(C) MD,20,63,,Pedro Bicalho,M MA(C) MD,20,63,,Pedro Bicalho,M MA(C) MD,20,63,,Pedro Bicalho,M MA(C) MD,20,63,,Pedro Bicalho,M MA(C) MD,20,63,,"
"Caio Cunha,M MA(C) MD,20,60,,Caio Cunha,M MA(C) MD,20,60,,Caio Cunha,M MA(C) MD,20,60,,Caio Cunha,M MA(C) MD,20,60,,Caio Cunha,M MA(C) MD,20,60,,Caio Cunha,M MA(C) MD,20,60,,Caio Cunha,M MA(C) MD,20,60,,Caio Cunha,M MA(C) MD,20,60,,"
"Rocha Mayke,MD M MA(D) D,29,76,,Rocha Mayke,MD M MA(D) D,29,76,,Rocha Mayke,MD M MA(D) D,29,76,,Rocha Mayke,MD M MA(D) D,29,76,,Rocha Mayke,MD M MA(D) D,29,76,,Rocha Mayke,MD M MA(D) D,29,76,,Rocha Mayke,MD M MA(D) D,29,76,,Rocha Mayke,MD M MA(D) D,29,76,,"
"Raphael Veiga,MA(DEC) M(C),26,79,,Raphael Veiga,MA(DEC) M(C),26,79,,Raphael Veiga,MA(DEC) M(C),26,79,,Raphael Veiga,MA(DEC) M(C),26,79,,Raphael Veiga,MA(DEC) M(C),26,79,,Raphael Veiga,MA(DEC) M(C),26,79,,Raphael Veiga,MA(DEC) M(C),26,79,,Raphael Veiga,MA(DEC) M(C),26,79,,"
"Gustavo Scarpa,MA(DEC) M,28,80,,Gustavo Scarpa,MA(DEC) M,28,80,,Gustavo Scarpa,MA(DEC) M,28,80,,Gustavo Scarpa,MA(DEC) M,28,80,,Gustavo Scarpa,MA(DEC) M,28,80,,Gustavo Scarpa,MA(DEC) M,28,80,,Gustavo Scarpa,MA(DEC) M,28,80,,Gustavo Scarpa,MA(DEC) M,28,80,,"
"Ze Rafael,M MA(DEC) MD(C),28,80,,Ze Rafael,M MA(DEC) MD(C),28,80,,Ze Rafael,M MA(DEC) MD(C),28,80,,Ze Rafael,M MA(DEC) MD(C),28,80,,Ze Rafael,M MA(DEC) MD(C),28,80,,Ze Rafael,M MA(DEC) MD(C),28,80,,Ze Rafael,M MA(DEC) MD(C),28,80,,Ze Rafael,M MA(DEC) MD(C),28,80,,"
"Acosta Deyverson,A(C),30,79,,Acosta Deyverson,A(C),30,79,,Acosta Deyverson,A(C),30,79,,Acosta Deyverson,A(C),30,79,,Acosta Deyverson,A(C),30,79,,Acosta Deyverson,A(C),30,79,,Acosta Deyverson,A(C),30,79,,Acosta Deyverson,A(C),30,79,,"
"Gabriel Silva,A(C),20,69,,Gabriel Silva,A(C),20,69,,Gabriel Silva,A(C),20,69,,Gabriel Silva,A(C),20,69,,Gabriel Silva,A(C),20,69,,Gabriel Silva,A(C),20,69,,Gabriel Silva,A(C),20,69,,Gabriel Silva,A(C),20,69,,"
"Rodrigues Dudu,A(DE) MA(DEC),30,82,,Rodrigues Dudu,A(DE) MA(DEC),30,82,,Rodrigues Dudu,A(DE) MA(DEC),30,82,,Rodrigues Dudu,A(DE) MA(DEC),30,82,,Rodrigues Dudu,A(DE) MA(DEC),30,82,,Rodrigues Dudu,A(DE) MA(DEC),30,82,,Rodrigues Dudu,A(DE) MA(DEC),30,82,,Rodrigues Dudu,A(DE) MA(DEC),30,82,,"
"Barbosa Rony,A(DEC) MA(DE),26,80,,Barbosa Rony,A(DEC) MA(DE),26,80,,Barbosa Rony,A(DEC) MA(DE),26,80,,Barbosa Rony,A(DEC) MA(DE),26,80,,Barbosa Rony,A(DEC) MA(DE),26,80,,Barbosa Rony,A(DEC) MA(DE),26,80,,Barbosa Rony,A(DEC) MA(DE),26,80,,Barbosa Rony,A(DEC) MA(DE),26,80,,"
"Silva Wesley,A(DEC) MA(DE),22,76,,Silva Wesley,A(DEC) MA(DE),22,76,,Silva Wesley,A(DEC) MA(DE),22,76,,Silva Wesley,A(DEC) MA(DE),22,76,,Silva Wesley,A(DEC) MA(DE),22,76,,Silva Wesley,A(DEC) MA(DE),22,76,,Silva Wesley,A(DEC) MA(DE),22,76,,Silva Wesley,A(DEC) MA(DE),22,76,,"
"Breno Lopes,A(DEC) MA(DE),26,75,,Breno Lopes,A(DEC) MA(DE),26,75,,Breno Lopes,A(DEC) MA(DE),26,75,,Breno Lopes,A(DEC) MA(DE),26,75,,Breno Lopes,A(DEC) MA(DE),26,75,,Breno Lopes,A(DEC) MA(DE),26,75,,Breno Lopes,A(DEC) MA(DE),26,75,,Breno Lopes,A(DEC) MA(DE),26,75,,"
"Henrique Giovani,A(DEC) MA(DE),18,63,,Henrique Giovani,A(DEC) MA(DE),18,63,,Henrique Giovani,A(DEC) MA(DE),18,63,,Henrique Giovani,A(DEC) MA(DE),18,63,,Henrique Giovani,A(DEC) MA(DE),18,63,,Henrique Giovani,A(DEC) MA(DE),18,63,,Henrique Giovani,A(DEC) MA(DE),18,63,,Henrique Giovani,A(DEC) MA(DE),18,63,,"
"Sousa Endrick,A(DEC) MA(DE),15,63,,Sousa Endrick,A(DEC) MA(DE),15,63,,Sousa Endrick,A(DEC) MA(DE),15,63,,Sousa Endrick,A(DEC) MA(DE),15,63,,Sousa Endrick,A(DEC) MA(DE),15,63,,Sousa Endrick,A(DEC) MA(DE),15,63,,Sousa Endrick,A(DEC) MA(DE),15,63,,Sousa Endrick,A(DEC) MA(DE),15,63,,"
"Gabriel Veron,A(DEC) MA,19,75,,Gabriel Veron,A(DEC) MA,19,75,,Gabriel Veron,A(DEC) MA,19,75,,Gabriel Veron,A(DEC) MA,19,75,,Gabriel Veron,A(DEC) MA,19,75,,Gabriel Veron,A(DEC) MA,19,75,,Gabriel Veron,A(DEC) MA,19,75,,Gabriel Veron,A(DEC) MA,19,75,,"
"Luan Silva,A(DEC) MA,23,66,,Luan Silva,A(DEC) MA,23,66,,Luan Silva,A(DEC) MA,23,66,,Luan Silva,A(DEC) MA,23,66,,Luan Silva,A(DEC) MA,23,66,,Luan Silva,A(DEC) MA,23,66,,Luan Silva,A(DEC) MA,23,66,,Luan Silva,A(DEC) MA,23,66,,"
"Rafael Navarro,A(DEC) MA,21,63,,Rafael Navarro,A(DEC) MA,21,63,,Rafael Navarro,A(DEC) MA,21,63,,Rafael Navarro,A(DEC) MA,21,63,,Rafael Navarro,A(DEC) MA,21,63,,Rafael Navarro,A(DEC) MA,21,63,,Rafael Navarro,A(DEC) MA,21,63,,Rafael Navarro,A(DEC) MA,21,63,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
