"Juventus,,,,,Inter,,,,,Napoli,,,,,Lazio,,,,,Milan,,,,,Roma,,,,,Atalanta,,,,,Fiorentina,,,,,"
"W. Szczęsny,GK,31,86,,S. Handanovič,GK,36,85,,D. Ospina,GK,32,78,,T. Strakosha,GK,26,79,,M. Maignan,GK,25,85,,Rui Patrício,GK,33,82,,J. Musso,GK,27,81,,P. Terracciano,GK,31,72,,"
"J. Cuadrado,RB RM,33,83,,M. Škriniar,CB,26,86,,G. Di Lorenzo,RB,27,81,,A. Marušić,RB RWB CB,28,79,,D. Calabria,RB,24,79,,G. Mancini,CB CDM,25,80,,Rafael Tolói,CB,30,81,,Odriozola,RB,25,78,,"
"M. de Ligt,CB,21,85,,S. de Vrij,CB,29,85,,A. Rrahmani,CB,27,79,,Luiz Felipe,CB,24,79,,F. Tomori,CB,23,82,,C. Smalling,CB,31,78,,M. Demiral,CB,23,77,,N. Milenković,CB RB,23,77,,"
"G. Chiellini,CB,36,85,,A. Bastoni,CB,22,82,,K. Koulibaly,CB,30,86,,F. Acerbi,CB,33,83,,A. Romagnoli,CB,26,82,,Ibañez,CB LB,22,78,,B. Djimsiti,CB,28,79,,L. Martínez Quarta,CB,25,76,,"
"Alex Sandro,LB LM,30,81,,M. Brozović,CDM,28,84,,Mário Rui,LB,30,77,,E. Hysaj,LB RB,27,76,,T. Hernández,LB,23,84,,Sérgio Oliveira,CM,29,80,,H. Hateboer,RWB RB RM,27,81,,C. Biraghi,LB LWB LM,28,77,,"
"W. McKennie,CM RM LM,22,78,,D. Dumfries,RWB RB RM,25,81,,A. Zambo Anguissa,CM CDM,25,78,,D. Cataldi,CDM CM,26,76,,S. Tonali,CDM CM,21,81,,R. Karsdorp,RWB RM RB,26,80,,M. de Roon,CDM CM,30,81,,G. Bonaventura,CM CAM,31,78,,"
"M. Locatelli,CDM CM,23,82,,N. Barella,CM,24,85,,Fabián,CM CDM,25,82,,S. Milinković-Savić,CM CDM CAM,26,85,,F. Kessié,CDM CM,24,84,,L. Pellegrini,CAM CM CDM,25,83,,R. Freuler,CM,29,80,,L. Torreira,CDM CM,25,79,,"
"A. Rabiot,CM LM,26,81,,H. Çalhanoğlu,CAM LM CM,27,83,,P. Zieliński,CM CAM,27,82,,Luis Alberto,CAM CM CF,28,83,,Junior Messias,RW CAM CF,30,78,,H. Mkhitaryan,LW LM CM,32,81,,D. Zappacosta,RWB RM LM,29,79,,A. Duncan,CM CDM,28,74,,"
"P. Dybala,CF RW,27,87,,I. Perišić,LM LWB,32,81,,M. Politano,RW RM,27,81,,Pedro,LW CF RW,33,78,,Rafael Leão,LW ST LM,22,81,,N. Zalewski,LM,19,67,,R. Malinovskyi,CF CM,28,82,,N. González,LW ST,23,78,,"
"Morata,ST,28,81,,E. Džeko,ST,35,84,,V. Osimhen,ST,22,81,,C. Immobile,ST,31,86,,Brahim,CAM LW LM,21,78,,N. Zaniolo,CF RW RM,21,79,,M. Pašalić,CAM CF CM,26,80,,K. Piątek,ST,26,75,,"
