"São Paulo FC,,,,,FC Istres,,,,,Club Brugge KV,,,,,EA Guingamp,,,,,FC Schalke 04,,,,,Paysandu SC,,,,,Ponte Preta,,,,,Palmeiras,,,,,"
"Tiago Volpi,G,31,79,,Jordan Gil,G,25,63,,Simon Mignolet,G,34,81,,Enzo Basilio,G,27,73,,Ralf Fährmann,G,33,76,,Cardoso Heverton,D(C),34,69,,Caíque França,G,26,66,,Pereira Weverton,G,34,82,,"
"Carniel Jandrei,G,29,76,,Fabien Barrillon,D(C),33,65,,Senne Lammens,G,19,68,,Hugo Barbet,G,20,65,,Martin Fraisl,G,28,73,,Victor Sallinas,D(C),30,68,,Ygor Vinhas,G,27,63,,Marcelo Lomba,G,35,76,,"
"Thiago Couto,G,23,60,,Darnel Situ,MD(C) D,30,68,,Nick Shinton,G,20,66,,Dominique Youfeigane,G,22,63,,Michael Langer,G,37,66,,Santos Denilson,MD(C) D,26,66,,Vital Dede,D(C),33,76,,Vinicius Silvestre,G,28,66,,"
"João Miranda,D(C),37,80,,Kevin Diaz,MA(DEC),33,66,,Brandon Mechele,D(C),29,79,,Felix Eboa Eboa,D(C),24,75,,Marcin Kamiński,D(C),30,76,,Henrique Marcelo,MD(D) D,32,66,,Fabio Sanches,D(C),31,75,,Gustavo Gomez,D(C),28,81,,"
"Robert Arboleda,D(C),30,79,,Jonathan Behe,A(C),33,68,,Jack Hendry,D(C),26,77,,Hady Camara,D(C),20,68,,Marius Lode,D(C),29,75,,João Paulo,MD M(E) D,31,72,,Barbosa Ednei,D(C),31,71,,Garcia Luan,D(C),28,78,,"
"Diego Costa,D(C),22,75,,Birame N'Diaye,A(C),26,59,,Matej Mitrovic,D(C),28,76,,Matthis Riou,D(C),21,63,,Salif Sane,MD(C) D,31,78,,Alan Cardoso,MD M(E) D,24,69,,Jose Cleylton,D(C),29,69,,Benjamín Kuscevic,D(C),25,75,,"
"Filho Walce,D(DC),23,71,,Adama Diakite,A(DEC) MA,31,68,,Ibe Hautekiet,D(C),19,66,,Pierre Lemonnier,D(DC),28,70,,Malick Thiaw,MD(C) D,20,75,,Silva Marino,M(C) MD,36,71,,Gustavo Cipriano,D(C),21,63,,Lucas Freitas,D(C),21,66,,"
"Manoel Reinaldo,MD M(E) D,32,80,,,,,,,Federico Ricca,MD(E) D(EC),27,77,,Baptiste Roux,MD(C) D,22,73,,Ko Itakura,MD(C) D,25,75,,Filho Serginho,M(C) MD,33,70,,Dornellas Fabrício,D(EC),32,75,,Michel Augusto,D(C),18,63,,"
"Damascena Welington,MD M(E) D,21,70,,,,,,,Éder Balanta,MD(C) D,29,79,,Yoann Etienne,MD M(E) D,24,71,,Henning Matriciani,MD(DE) D(DEC),22,63,,Teixeira Jhonnatan,M(C) MD,30,69,,Poltronieri Rayan,D(EC),32,66,,Marinho Henri,D(C),20,63,,"
"Lanza Patryck,MD M(E) D,19,63,,,,,,,Stanley Nsoki,MD(C) D(EC),22,78,,Cedric Makutungu,MD M(E) D,24,66,,Rodrigo Zalazar,M(C) MD,22,75,,Sergio Paulinho,M(C) MD,32,69,,Leo Santos,D(DC),23,73,,Victor Renan,MD(E) D(EC),19,75,,"
"Leo Pele,MD M(E) D(EC),26,77,,,,,,,Denis Odoi,MD(DE) D(DEC),33,76,,Youssouf M'Changama,M(C) MD,31,75,,Victor Palsson,MD M(C) D,30,75,,Maciel Elyeser,M(C) MD,31,66,,Matheus Jesus,M(C) MD,24,75,,Murilo Cerqueira,MD(C) D,25,78,,"
"Luan Santos,M(C) MD,22,77,,,,,,,Eduard Sobol,MD M(E) D,26,79,,El Hadji Ba,M(C) MD,29,73,,Florian Flick,MD M(C) D,21,69,,Wellington Reis,M(C) MD,30,66,,Marcos Júnior,M(C) MD,22,63,,Moraes Jorge,MD M(E) D,26,78,,"
"Rodrigues Hudson,M(C) MD,34,76,,,,,,,Mats Rits,M(C) MD,28,79,,Raouf Mroivili,MD M(C) D,23,63,,Thomas Ouwejan,MD(E) M(EC) D,25,78,,Paulo Roberto,MD M(C) D(D),35,71,,Neto Norberto,MD M(D) D,31,75,,Barbosa Vanderlan,MD M(E) D(EC),19,63,,"
"Gabriel Neves,M(C) MD,24,75,,,,,,,Xander Blomme,M(C) MD,19,66,,Yohan Bilingi,MD M(D) D,23,69,,Andreas Vindheim,MD M(D) D,26,75,,Ozealisson Júnior,MD M(D) D,30,71,,Guilherme Santos,MD M MA(E) D,34,73,,Eduard Atuesta,M(C) MD,24,76,,"
"Andres Colorado,M(C) MD,23,73,,,,,,,Ibrahima Fofana,M(C) MD,19,63,,Maxime Sivis,MD M(D) D,23,69,,Reinhold Ranftl,MD M(D) D(DE),30,76,,Luan Ferreira,MA(E) M,26,58,,Beltrame Wesley,MA(C) M,34,75,,Fabinho Silva,M(C) MD,19,66,,"
"Rodrigo Nestor,M(C) MD,21,73,,,,,,,Noah Mbamba,MD M(C) D,17,71,,Maxime Barthelme,MD M MA(E) D,33,75,,Yaroslav Mikhailov,MA(C) M,18,66,,Patrick Brey,MD M MA(E) D,24,68,,Ferreira Pedrinho,MA(EC),20,60,,Jailson Siqueira,MD M(C) D,26,76,,"
"Pablo Maia,M(C) MD,20,63,,,,,,,Owen Otasowie,MD M(C) D,21,69,,Stephen Quemper,MD M MA(E) D,28,71,,Danny Latza,M MA(C) MD,32,79,,Acosta Ricardinho,MA(C) M,35,71,,Antonio Yuri,MD M MA(EC) D(E),26,66,,Marcos Rocha,MD M(D) D,33,80,,"
"Igor Vinícius,MD M(D) D,24,75,,,,,,,Denzel de Roeve,MD M(C) D(D),17,60,,Louis Carnot,MA(C) M,21,67,,Kerim Çalhanoğlu,MD(E) M MA(EC) D,19,66,,Jurani Ratinho,MA(C) M,25,66,,Arruda Josiel,MA(DE),23,66,,Gustavo Garcia,MD M(D) D,20,63,,"
"Caio Felipe,MD M(D) D,23,63,,,,,,,Clinton Mata,MD M(D) D(DC),29,80,,Matheo Didot,MA(C) M,19,61,,Mehmet Aydin,MD M(D) MA(DE) D,20,70,,Lisboa Robinho,MA(DE),27,71,,Brito Fessin,MA(DEC) M(C),23,69,,Gabriel Menino,MD M(DC) D(D),21,78,,"
"Nathan Mendes,MD M(D) D,19,58,,,,,,,Faitout Maouassa,MD M MA(E) D,23,79,,Souleymane Diarra,M MA(C) MD,27,73,,Blendi Idrizi,MA(DEC),23,68,,João Paulo,MA(DEC),28,66,,Vinícius Locatelli,MA(DEC) M(C),24,66,,Joaquín Piquerez,MD M MA(E) D,23,75,,"
"Marcio Rafinha,MD M(DE) D,36,79,,,,,,,Hans Vanaken,MA(C) M,29,81,,Jeremy Livolant,MA(DEC),24,75,,Dong-Gyeong Lee,MA(DEC) M(C),24,74,,Rafael Grampola,A(C),33,71,,Lucas Ribamar,A(C),24,75,,Oliveira Danilo,M MA(C) MD,20,76,,"
"Pedro Vilhena,MA(C),20,63,,,,,,,Ruud Vormer,M MA(C) MD,33,80,,Mehdi Merghem,MA(DEC),24,73,,Marc Rzatkowski,MA(DEC) M,32,73,,Thiago Santos,A(C),31,66,,Brito Lucca,A(DEC) MA(DE),32,76,,Pedro Bicalho,M MA(C) MD,20,63,,"
